number,sales_year
2526,2743.26
5516WT,2738.02
2479,2734.52
5351,2725.28
5516BK,2695.95
5578,2502.53
2168WWA,2485.2
5149,2419.5
5145W,2410.03
5514GY,2380.3
5600,2330.15
5038,2300.79
5512,2167.2
2516,2135.28
1718GY,2065.88
2615DCA,2035.4
5268,2003.37
1808A,1968.0
5478,1956.0
5404PU,1953.1
2477,1940.64
5034RUT,1912.16
5435,1910.73
5109,1898.0
5530,1885.0
5106BK,1863.0
1828,1844.93
5372,1823.6
5573,1812.0
5581,1807.35
5603,1801.79
5614,1798.0
2168WW,1780.7
2168A,1706.4
5165GY,1638.65
5516BM,1566.24
5599,1561.0
5568,1560.2
1867A,1560.0
5613,1544.0
5517A,1534.0
5546,1525.12
1958A,1513.0
5604,1461.0
5592,1440.46
2549,1409.48
2438,1409.0
5517,1371.0
5281,1354.0
5477NA,1332.0
8079,1319.0
5550,1286.0
5271,1244.0
2434,1243.58
5400A,1243.06
5514,1238.78
1140E,1193.68
5309,1190.0
5536A,1170.0
5626,1169.0
5509A,1140.0
5035BLK,1119.68
5115A,1109.92
5430,1102.0
5021BE,1100.0
5538BKG,1085.52
G54RD,1079.79
5404,1073.0
5555,1070.72
1935A,1063.8
1157BRW,1058.62
5504,1029.0
5580,998.0
1916,996.03
5609,996.0
5514CH,975.0
5503,960.0
1915,957.43
5415R,940.0
5575,927.0
5514BU,910.0
2159,909.56
5609A,900.0
2513,867.0
5310C,853.0
5052A,840.0
5531A,774.0
5079BK,766.0
1978W,765.33
2168,762.15
1178BLK,714.0
G4272,707.36
5034RED,700.72
1178WHT,659.94
5035WH,642.24
5538W,630.59
5136,629.12
5491A,623.16
5048,603.0
3276,600.0
5115,599.35
1156WHT,592.0
5597,591.03
5178GY,576.0
1824A,570.0
1147BLK,567.0
5584,554.0
1149BLK,550.56
5448,549.63
1156BLK,548.34
5568A,531.0
2516A,528.0
5503T,519.52
1156RED,518.0
1178RED,510.0
5673GYA,500.0
1394A,486.2
2611,484.03
5346,484.0
5555A,471.4
5468,469.0
5035SVE,460.0
3276N,455.0
5021DB,450.0
5577GY,445.86
5548,407.0
5427,402.0
5597WT,394.0
5595GY,393.0
2447W,392.04
5515GY,366.25
5178BR,360.0
5607,358.0
2489,355.0
1390A,340.0
5445,315.0
5034BUE,304.0
5576,296.4
3219PU,295.0
5123A,288.84
5039,288.35
5503M,270.3
3276R,267.32
5581A,256.1
1147WHT,243.0
5577,240.21
5569A,237.6
1188DB,236.4
3276S-C,234.0
5503B,220.24
5538WG,216.36
5445BK,208.0
17811,207.54
1978WA,203.7
2447T,187.47
1947A,180.0
17812,178.56
2447,177.84
5021,169.88
5375,168.0
1157RED,164.0
1147RED,162.0
2568,155.0
2111,155.0
5548A,150.0
5310BK,146.0
1155BLK,145.78
5178,135.0
5034YLW,132.24
5514RD,130.0
1188RD,120.0
1149RED,108.78
5576RD,106.17
5576RDB,100.93
5530A,100.0
5155,99.0
5491,91.88
1148RED,90.0
1148WHT,90.0
1148BLK,89.1
1155WHT,74.0
1155RED,74.0
5118S-,72.96
1149WHT,71.78
G5454,69.12
1188BK,60.0
1145BLK,42.0
5350,33.95
5118,0.0
3292,0.0
5249,0.0
5426,0.0
5272,0.0
5467,0.0
3273,0.0
5169,0.0
5105,0.0
1107BGD,0.0
5417,0.0
5188,0.0
1142E,0.0
2568BR,0.0
5261S-2,0.0
5261G,0.0
5099,0.0
2457,0.0
1136,0.0
3546,0.0
5262T,0.0
5066,0.0
2606,0.0
5101,0.0
2623DB,0.0
5265,0.0
5350PU,0.0
1399,0.0
5464,0.0
1205,0.0
2455DC,0.0
5148BK,0.0
1108RED,0.0
5465W,0.0
5249G,0.0
5310W,0.0
1145RED,0.0
1146RED,0.0
2499DC,0.0
5416,0.0
2615RFA,0.0
5066B,0.0
5266,0.0
3299,0.0
5024,0.0
2609,0.0
5022,0.0
5418,0.0
5323,0.0
5282,0.0
5458,0.0
1205PU,0.0
2555,0.0
2545,0.0
5157,0.0
5455,0.0
5422,0.0
1107BLK,0.0
2622,0.0
2622B,0.0
5264,0.0
5127,0.0
5465,0.0
5496,0.0
1704,0.0
5401,0.0
5141GY,0.0
5262,0.0
5269BK,0.0
5261,0.0
5144GY,-85.46
5280,-235.0
