Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S19681,SRDAS,1958-14,"VANITY STOOL, P/U, ACRYLIC",Closed,,HE19608,09/17/2018,Unit Price,,TX,US United States,1,59.00,1,59.00,2.670
"HOMELEGANCE TX, INC.",ALIFU,ALIAH'S FURNITURE,Customer-Local;,,ALIFU,ALIAH'S FURNITURE,S18818,SRDAS,5503T,(1/3) DINING TABLE TOP,Closed,,HE19538,09/13/2018,Unit Price,,TX,US United States,1,141.00,1,141.00,12.939
"HOMELEGANCE TX, INC.",ALIFU,ALIAH'S FURNITURE,Customer-Local;,,ALIFU,ALIAH'S FURNITURE,S18818,SRDAS,5503B,(2/3) DINING TABLE BASE,Closed,,HE19538,09/13/2018,Unit Price,,TX,US United States,1,65.00,1,65.00,3.154
"HOMELEGANCE TX, INC.",ALIFU,ALIAH'S FURNITURE,Customer-Local;,,ALIFU,ALIAH'S FURNITURE,S18818,SRDAS,5503M,(3/3) DINING TABLE METAL BASE,Closed,,HE19538,09/13/2018,Unit Price,,TX,US United States,1,51.00,1,51.00,2.426
"HOMELEGANCE TX, INC.",ALPHA,Alpha & Omega Furniture LLC,Customer-Local;,,ALPHA,Alpha & Omega Furniture LLC,S19301,SRDAS,5562RF-54,(1/3) ROUND DINING TABLE TOP,Closed,,HE19353,09/07/2018,Promotion Price,,TX,US United States,1,84.00,1,84.00,8.730
"HOMELEGANCE TX, INC.",ALPHA,Alpha & Omega Furniture LLC,Customer-Local;,,ALPHA,Alpha & Omega Furniture LLC,S19301,SRDAS,5562RF-54C,(3/3) COLUMN (PEDESTAL),Closed,,HE19353,09/07/2018,Promotion Price,,TX,US United States,1,35.00,1,35.00,2.270
"HOMELEGANCE TX, INC.",ALPHA,Alpha & Omega Furniture LLC,Customer-Local;,,ALPHA,Alpha & Omega Furniture LLC,S19301,SRDAS,5562RF-54B,(2/3) BOTTOM PLATE,Closed,,HE19353,09/07/2018,Promotion Price,,TX,US United States,1,40.00,1,40.00,4.340
"HOMELEGANCE TX, INC.",ALPHA,Alpha & Omega Furniture LLC,Customer-Local;,,ALPHA,Alpha & Omega Furniture LLC,S19301,SRDAS,5562RF-A2,"ARM CHAIR W/SWIVEL, MEMORY (180)",Closed,,HE19353,09/07/2018,Promotion Price,,TX,US United States,4,320.00,4,320.00,34.120
"HOMELEGANCE TX, INC.",ALPHA,Alpha & Omega Furniture LLC,Customer-Local;,,ALPHA,Alpha & Omega Furniture LLC,S19824,SRDAS,3580-31,"3PC OCC TBL SET, FAUX MARBLE, METAL BASE, 3A",Closed,,HE19776,09/20/2018,Unit Price,,TX,US United States,1,130.00,1,130.00,6.540
"HOMELEGANCE TX, INC.",ALTMA,ALTAR'D MARKET LLC,Customer-Local;,,ALTMA,ALTAR'D MARKET LLC,S19371,SRDAS,8216DG-1,"CHAIR, DARK GREY FABRIC",Closed,,HE19810,09/21/2018,Unit Price,,TX,US United States,1,139.00,1,139.00,17.360
"HOMELEGANCE TX, INC.",ALTMA,ALTAR'D MARKET LLC,Customer-Local;,,ALTMA,ALTAR'D MARKET LLC,S19955,SRDAS,1707KNP-1,(1/3) EK/CK POSTER HEADBOARD,Closed,,HE19916,09/25/2018,Unit Price,,TX,US United States,1,233.00,1,233.00,13.730
"HOMELEGANCE TX, INC.",ALTMA,ALTAR'D MARKET LLC,Customer-Local;,,ALTMA,ALTAR'D MARKET LLC,S19955,SRDAS,1707KNP-2,(2/3) EK/CK POSTER FOOTBOARD,Closed,,HE19916,09/25/2018,Unit Price,,TX,US United States,1,115.00,1,115.00,6.703
"HOMELEGANCE TX, INC.",ALTMA,ALTAR'D MARKET LLC,Customer-Local;,,ALTMA,ALTAR'D MARKET LLC,S19955,SRDAS,1707KNP-3EK,(3/3) EK RAILS W/ 4PCS SLATS&8 PCS SUPPORT LEGS,Closed,,HE19916,09/25/2018,Unit Price,,TX,US United States,1,61.00,1,61.00,2.613
"HOMELEGANCE TX, INC.",ALTMA,ALTAR'D MARKET LLC,Customer-Local;,,ALTMA,ALTAR'D MARKET LLC,S19955,SRDAS,1707-5,DRESSER,Closed,,HE19916,09/25/2018,Unit Price,,TX,US United States,1,325.00,1,325.00,33.945
"HOMELEGANCE TX, INC.",ANGFG,ANGELES FURNITURE & GIFTS,Customer-Local;,,ANGFG,ANGELES FURNITURE & GIFTS,S19330,SRDAS,MT-G10F,"10"" FULL MATTRESS 2.5""+1.5""+6""",Closed,,HE19214,09/04/2018,Promotion Price,,TX,US United States,1,199.00,1,199.00,7.910
"HOMELEGANCE TX, INC.",ANGFG,ANGELES FURNITURE & GIFTS,Customer-Local;,,ANGFG,ANGELES FURNITURE & GIFTS,S19185,SRDAS,5546S,"SIDE CHAIR, CRYSTAL",Closed,,HE19744,09/19/2018,Unit Price,,TX,US United States,2,120.00,2,120.00,8.507
"HOMELEGANCE TX, INC.",ANGFG,ANGELES FURNITURE & GIFTS,Customer-Local;,,ANGFG,ANGELES FURNITURE & GIFTS,S19185,SRDAS,MT-G10Q,"10"" QUEEN MATTRESS 2.5""+1.5""+6""",Closed,,HE19744,09/19/2018,Unit Price,,TX,US United States,2,498.00,2,498.00,17.520
"HOMELEGANCE TX, INC.",ANGFG,ANGELES FURNITURE & GIFTS,Customer-Local;,,ANGFG,ANGELES FURNITURE & GIFTS,S19802,SRDAS,2147BK-6,MIRROR,Closed,,HE19746,09/19/2018,Unit Price,,TX,US United States,2,60.00,2,60.00,3.821
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977T-1,(1/2) TWIN HB & FB & SL,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,161.00,1,161.00,9.019
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977T-3,(2/2) TWIN/FULL RAILS,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,34.00,1,34.00,1.685
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977-4,NIGHT STAND,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,119.00,1,119.00,8.645
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977-5,DRESSER,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,259.00,1,259.00,28.831
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977-6,MIRROR,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,56.00,1,56.00,5.894
"HOMELEGANCE TX, INC.",ANNIM,Annetle's Imports,Customer-Local;,,ANNIM,Annetle's Imports,S19132,SRDAS,1977-9,CHEST,Closed,,HE19889,09/24/2018,Unit Price,,TX,US United States,1,215.00,1,215.00,25.317
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5167-96,"(1/2) DN TBL TP,20IN LF,DRK OAK",Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,1,163.00,1,163.00,17.402
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5167-96B,(2/2) DN TBL TRESTLE BASE,Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,1,86.00,1,86.00,3.498
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5167FS,SIDE CHAIR,Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,8,400.00,8,400.00,30.857
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5167-50,HUTCH,Closed,,HE19269,09/05/2018,Unit Price,,TX,US United States,1,384.00,1,384.00,39.226
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5167-55,BUFFET/SERVER,Closed,,HE19269,09/05/2018,Unit Price,,TX,US United States,1,375.00,1,375.00,30.576
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5538BK,"(1/2) METAL TABLE LEGS, BLACK",Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,1,14.00,1,14.00,0.816
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5538BKG,"(2/2) DINING TABLE TOP, BLACK GLASS",Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,1,31.00,1,31.00,2.246
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,5538BKS,"SIDE CHAIR, BLACK P/U",Closed,,HE19269,09/05/2018,Promotion Price,,TX,US United States,4,64.00,4,64.00,6.392
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19274,SRDAS,1233GY,"ACCENT CHAIR, GREY",Closed,,HE19269,09/05/2018,Unit Price,,TX,US United States,1,139.00,1,139.00,13.100
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19484,SRDAS,5888-1,(1/3) QUEEN UPHOLSTRY HEABOARD,Closed,,HE19393,09/10/2018,Promotion Price,,TX,US United States,1,111.00,1,111.00,12.169
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19484,SRDAS,5888-2,(2/3) QUEEN UPHOLSTRY FOOTBOARD W/ 3 PCS SLATS& 3 CENTER LEGS,Closed,,HE19393,09/10/2018,Promotion Price,,TX,US United States,1,78.00,1,78.00,9.842
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19484,SRDAS,5888-3,(3/3) EK/QN SIDE UPHOLSTERY RAILS,Closed,,HE19393,09/10/2018,Promotion Price,,TX,US United States,1,50.00,1,50.00,3.874
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19484,SRDAS,1928-78,DINING TBL,Closed,,HE19393,09/10/2018,Promotion Price,,TX,US United States,1,159.00,1,159.00,11.670
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19484,SRDAS,1928S,SIDE CHAIR,Closed,,HE19393,09/10/2018,Promotion Price,,TX,US United States,4,200.00,4,200.00,15.772
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19469,SRDAS,8230BLK-2L,(2/3) LSF RECLNR LOVE SEAT,Closed,,HE19522,09/13/2018,Unit Price,,TX,US United States,1,293.00,1,293.00,28.730
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19469,SRDAS,8230BLK-2RCN,(1/3) RSF DOUBLE RECLINING LOVE SEAT WITH CONSOLE,Closed,,HE19522,09/13/2018,Unit Price,,TX,US United States,1,356.00,1,356.00,34.560
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19469,SRDAS,8230BLK-CR,"(3/3) CORNER SEAT, BLACK LEATHER GEL MTCH",Closed,,HE19522,09/13/2018,Unit Price,,TX,US United States,1,210.00,1,210.00,29.190
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19795,SRDAS,1220F1S,"ACCENT CHAIR, GRAY",Closed,,HE19739,09/19/2018,Promotion Price,,TX,US United States,1,119.00,1,119.00,14.010
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S17456,SRDAS,1935-76,(1/2) RD/OVAL PEDESTAL TBL TOP,Closed,,HE19740,09/19/2018,Unit Price,,TX,US United States,1,370.00,1,370.00,19.360
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S17456,SRDAS,1935-76B,(2/2) RD/OVAL PEDESTAL TBL BASE,Closed,,HE19740,09/19/2018,Unit Price,,TX,US United States,1,169.00,1,169.00,9.860
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19579,SRDAS,1714KBK-1,(1/3) CK/EK HB,Closed,,HE19741,09/19/2018,Unit Price,,TX,US United States,1,169.00,1,169.00,13.320
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19579,SRDAS,1714KBK-2,(2/3) CK/EK STORAGE FB W/SLATS (13 + 8),Closed,,HE19741,09/19/2018,Unit Price,,TX,US United States,1,185.00,1,185.00,21.960
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19579,SRDAS,1714BK-3,(3/3) EK/QN RAILS,Closed,,HE19741,09/19/2018,Unit Price,,TX,US United States,1,55.00,1,55.00,3.175
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19579,SRDAS,1714BK-4,NIGHT STAND W/HIDDEN DRAWER,Closed,,HE19741,09/19/2018,Unit Price,,TX,US United States,2,262.00,2,262.00,21.874
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19579,SRDAS,1714BK-5,DRESSER W/HIDDEN DRAWER,Closed,,HE19741,09/19/2018,Unit Price,,TX,US United States,1,274.00,1,274.00,32.267
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935PNK-1,"(1/3) CK/EK UPH HDBD, CHERRY",Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,373.00,1,373.00,19.800
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935PNK-2,(2/3) CK/EK FTBD & SL,Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,151.00,1,151.00,6.990
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935PN-3,(3/3) EK/QN RL,Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,125.00,1,125.00,4.970
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935-4,"NIGHT STAND, WARM CHERRY",Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,279.00,1,279.00,13.400
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935-5,DRESSER,Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,626.00,1,626.00,40.600
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,1935-6,"MIRROR, BEVEL",Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,145.00,1,145.00,5.710
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,5877BE-1,"(1/2) QUEEN HDBD, BEIGE",Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,129.00,1,129.00,14.655
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,5877BE-3,(2/2) QUEEN FTBD & RL & SL,Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,95.00,1,95.00,9.017
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19691,SRDAS,5877-2DW,QUEEN STORAGE DRAWER,Closed,,HE19742,09/19/2018,Unit Price,,TX,US United States,1,75.00,1,75.00,9.528
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19392,SRDAS,5021BES,"SIDE CHAIR, BEIGE",Closed,,HE19876,09/24/2018,Unit Price,,TX,US United States,6,330.00,6,330.00,17.040
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19392,SRDAS,1718GY-5,DRESSER W/HIDDEN DRAWER,Closed,,HE19876,09/24/2018,Unit Price,,TX,US United States,1,267.00,1,267.00,30.035
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19273,SRDAS,3219PU-01,RD COCKTAIL TABLE W/4 OTTOMANS,Closed,,HE19877,09/24/2018,Unit Price,,TX,US United States,1,239.00,1,239.00,13.109
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19273,SRDAS,5538BK,"(1/2) METAL TABLE LEGS, BLACK",Closed,,HE19877,09/24/2018,Unit Price,,TX,US United States,1,14.00,1,14.00,0.816
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19273,SRDAS,5538BKG,"(2/2) DINING TABLE TOP, BLACK GLASS",Closed,,HE19877,09/24/2018,Unit Price,,TX,US United States,1,31.00,1,31.00,2.246
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19273,SRDAS,5538BKS,"SIDE CHAIR, BLACK P/U",Closed,,HE19877,09/24/2018,Unit Price,,TX,US United States,4,64.00,4,64.00,6.392
"HOMELEGANCE TX, INC.",FURAC,APEX FURNITURE,Customer-Local;,,FURAC,APEX FURNITURE,S19273,SRDAS,1707-5,DRESSER,Closed,,HE19877,09/24/2018,Unit Price,,TX,US United States,1,325.00,1,325.00,33.945
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19245,SRDAS,9668BRW-2,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,Closed,,HE19161,09/04/2018,Promotion Price,,TX,US United States,2,698.00,2,698.00,77.800
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19245,SRDAS,9668BRW-3,DOUBLE RECLINING SOFA,Closed,,HE19161,09/04/2018,Promotion Price,,TX,US United States,2,700.00,2,700.00,84.800
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S18850,SRDAS,8200BRW-2,D. RCLNR LOVE SEAT W/ CONSOLE,Closed,,HE19292,09/06/2018,Unit Price,,TX,US United States,1,519.00,1,519.00,43.750
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S18850,SRDAS,8200BRW-3,"D. RCLNR SOFA, TOP GRAIN LTHR MTCH PVC",Closed,,HE19292,09/06/2018,Unit Price,,TX,US United States,1,539.00,1,539.00,50.110
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,9668BRW-2,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,Closed,,HE19605,09/17/2018,Promotion Price,,TX,US United States,1,349.00,1,349.00,38.900
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,9668BRW-3,DOUBLE RECLINING SOFA,Closed,,HE19605,09/17/2018,Promotion Price,,TX,US United States,1,350.00,1,350.00,42.400
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,1907KW-1,"(1/3)CK/EK HB,ALL SLD PPLR,WHT",Closed,,HE19605,09/17/2018,Unit Price,,TX,US United States,1,169.00,1,169.00,8.726
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,1907KW-2,"(2/3) CK/EK FTBD, WHT",Closed,,HE19605,09/17/2018,Unit Price,,TX,US United States,1,131.00,1,131.00,7.074
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,1907KW-3EK,"(3/3) EK RAILS & SL, WHT",Closed,,HE19605,09/17/2018,Unit Price,,TX,US United States,1,65.00,1,65.00,2.059
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,1907W-4,"NIGHT STAND, WHT SOLID",Closed,,HE19605,09/17/2018,Unit Price,,TX,US United States,2,236.00,2,236.00,21.415
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19622,SRDAS,8215GY-1,"PUSH BACK RCLNR CHAIR, GRAY FABRIC",Closed,,HE19605,09/17/2018,Unit Price,,TX,US United States,1,139.00,1,139.00,14.680
"HOMELEGANCE TX, INC.",APRFU,April's Furniture,Customer-Local;,,APRFU,April's Furniture,S19960,SRDAS,MT-G10EK,"10"" EK MATTRESS 2.5""+1.5""+6""",Closed,,HE19943,09/26/2018,Unit Price,,TX,US United States,1,329.00,1,329.00,11.130
"HOMELEGANCE TX, INC.",ARIAG,ARIA AUCTION GALLERY(DBAROOMIMPRESS) NO B/O,Customer-Local;,,ARIAG,ARIA AUCTION GALLERY(DBAROOMIMPRESS) NO B/O,S19367,SRDAS,3526-30,"COCKTAIL TABLE, MARBLE TOP",Closed,,HE19820,09/21/2018,Unit Price,,TX,US United States,2,498.00,2,498.00,28.000
"HOMELEGANCE TX, INC.",ARIAG,ARIA AUCTION GALLERY(DBAROOMIMPRESS) NO B/O,Customer-Local;,,ARIAG,ARIA AUCTION GALLERY(DBAROOMIMPRESS) NO B/O,S19367,SRDAS,3526-04,"END TABLE, MARBLE TOP",Closed,,HE19820,09/21/2018,Unit Price,,TX,US United States,4,780.00,4,780.00,34.600
"HOMELEGANCE TX, INC.",ARIFU,Aristi Furniture,Customer-Designer;,,ARIFU,Aristi Furniture,S19403,SRDAS,MT-G10Q,"10"" QUEEN MATTRESS 2.5""+1.5""+6""",Closed,,HE19313,09/06/2018,Promotion Price,,TX,US United States,1,229.00,1,229.00,8.760
"HOMELEGANCE TX, INC.",ARLAM,ARLENE'S HOME STORE,Customer-Local;,,ARLAM,ARLENE'S HOME STORE,S18459,SRDAS,1715K-1EK,"(1/3) EK HB, PLATFORM",Closed,,HE19415,09/11/2018,Unit Price,,TX,US United States,1,200.00,1,200.00,11.929
"HOMELEGANCE TX, INC.",ARLAM,ARLENE'S HOME STORE,Customer-Local;,,ARLAM,ARLENE'S HOME STORE,S18459,SRDAS,1715K-2EK,"(2/3) EK FB, PLATFORM",Closed,,HE19415,09/11/2018,Unit Price,,TX,US United States,1,78.00,1,78.00,5.919
"HOMELEGANCE TX, INC.",ARLAM,ARLENE'S HOME STORE,Customer-Local;,,ARLAM,ARLENE'S HOME STORE,S18459,SRDAS,1715K-3EK,(3/3) EK RAILS WITH 13PC SLATS,Closed,,HE19415,09/11/2018,Unit Price,,TX,US United States,1,141.00,1,141.00,5.848
"HOMELEGANCE TX, INC.",AVAFU,AVA FURNITURE,Customer-Local;,,AVAFU,AVA FURNITURE,S19427,SRDAS,9979GRY-2,"LOVE SEAT, LIGHT GRAY 100% POLYESTER",Closed,,HE19340,09/07/2018,Promotion Price,,TX,US United States,1,110.00,1,110.00,15.830
"HOMELEGANCE TX, INC.",AVAFU,AVA FURNITURE,Customer-Local;,,AVAFU,AVA FURNITURE,S19427,SRDAS,9979GRY-3,"SOFA, LIGHT GRAY 100% POLYESTER",Closed,,HE19340,09/07/2018,Promotion Price,,TX,US United States,1,129.00,1,129.00,22.450
